ts_code,symbol,name,area,industry
000001.SZ,000001,平安银行,深圳,银行
000069.SZ,000069,华侨城A,深圳,全国地产
000157.SZ,000157,中联重科,湖南,工程机械
000725.SZ,000725,京东方A,北京,元器件
000768.SZ,000768,中航西飞,陕西,航空
000776.SZ,000776,广发证券,广东,证券
000858.SZ,000858,五粮液,四川,白酒
000963.SZ,000963,华东医药,浙江,化学制药
002007.SZ,002007,华兰生物,河南,生物制药
002008.SZ,002008,大族激光,深圳,电器仪表
002241.SZ,002241,歌尔股份,山东,元器件
002304.SZ,002304,洋河股份,江苏,白酒
002594.SZ,002594,比亚迪,深圳,汽车整车
002736.SZ,002736,国信证券,深圳,证券
600015.SH,600015,华夏银行,北京,银行
600016.SH,600016,民生银行,北京,银行
600028.SH,600028,中国石化,北京,石油加工
600031.SH,600031,三一重工,北京,工程机械
600036.SH,600036,招商银行,深圳,银行
600085.SH,600085,同仁堂,北京,中成药
600104.SH,600104,上汽集团,上海,汽车整车
600111.SH,600111,北方稀土,内蒙,小金属
600519.SH,600519,贵州茅台,贵州,白酒
600585.SH,600585,海螺水泥,安徽,水泥
600660.SH,600660,福耀玻璃,福建,汽车配件
600741.SH,600741,华域汽车,上海,汽车配件
600837.SH,600837,海通证券,上海,证券
600886.SH,600886,国投电力,北京,水力发电
601006.SH,601006,大秦铁路,山西,铁路
601186.SH,601186,中国铁建,北京,建筑工程
601211.SH,601211,国泰君安,上海,证券
601225.SH,601225,陕西煤业,陕西,煤炭开采
601288.SH,601288,农业银行,北京,银行
601318.SH,601318,中国平安,深圳,保险
601328.SH,601328,交通银行,上海,银行
601336.SH,601336,新华保险,北京,保险
601398.SH,601398,工商银行,北京,银行
601601.SH,601601,中国太保,上海,保险
601618.SH,601618,中国中冶,北京,建筑工程
601628.SH,601628,中国人寿,北京,保险
601668.SH,601668,中国建筑,北京,建筑工程
601688.SH,601688,华泰证券,江苏,证券
601788.SH,601788,光大证券,上海,证券
601800.SH,601800,中国交建,北京,建筑工程
601857.SH,601857,中国石油,北京,石油开采
601888.SH,601888,中国中免,北京,旅游服务
601939.SH,601939,建设银行,北京,银行
601985.SH,601985,中国核电,北京,新型电力
601988.SH,601988,中国银行,北京,银行
601998.SH,601998,中信银行,北京,银行
