date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2021-10-19,2,0,-100,0,0,1,9,100,-100,0,-100,100,100,100,-100
2021-10-20,0,0,-95,0,0,0,10,100,-100,0,-100,100,100,100,-100
2021-10-21,1,0,0,0,0,0,1,100,-100,0,-100,100,100,100,-100
2021-10-22,1,0,0,0,0,1,0,100,-100,0,-100,100,100,100,-100
2021-10-25,6,0,0,0,0,1,1,100,-100,0,-100,100,100,100,-100
2021-10-26,7,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-10-27,0,0,0,0,0,1,2,100,-100,0,-100,100,100,100,-100
2021-10-28,2,0,0,0,0,1,1,100,-100,0,-100,100,100,100,-100
2021-10-29,5,0,0,0,0,1,2,100,-100,0,-100,100,100,100,-100
2021-11-01,0,0,0,0,0,1,1,100,-100,0,-100,100,100,100,-100
2021-11-02,2,0,0,0,0,0,0,100,-100,0,-100,100,100,100,-100
2021-11-03,7,0,0,0,0,0,0,100,-100,0,-100,100,100,100,-100
2021-11-04,7,0,0,0,0,0,0,100,-100,0,-100,100,100,100,-100
2021-11-05,3,0,0,0,0,0,0,100,-100,0,-100,100,100,100,-100
2021-11-08,1,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-09,0,0,0,0,0,1,2,100,-100,0,-100,100,100,100,-100
2021-11-10,1,0,0,0,0,1,2,100,-100,0,-100,100,100,100,-100
2021-11-11,5,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-12,6,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-15,8,0,0,0,0,0,1,100,-100,0,-100,100,100,100,-100
2021-11-16,5,0,0,0,0,1,0,100,-100,0,-100,100,100,100,-100
2021-11-17,9,0,0,0,0,0,1,100,-100,0,-100,100,100,100,-100
2021-11-18,4,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-19,1,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-22,4,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-23,8,0,0,0,0,0,2,100,-100,0,-100,100,100,100,-100
2021-11-24,6,0,0,0,0,1,3,100,-100,0,-100,100,100,100,-100
2021-11-25,2,0,0,0,0,0,4,100,-100,0,-100,100,100,100,-100
2021-11-26,0,0,0,0,0,0,5,100,-100,0,-100,100,100,100,-100
2021-11-29,0,0,0,0,0,0,0,4,-23,0,-100,56,100,100,-100
2021-11-30,0,0,0,0,0,0,0,5,0,0,-100,7,100,100,-44
2021-12-01,0,0,0,0,0,0,0,5,0,0,-100,0,85,100,0
2021-12-02,0,0,0,0,0,0,0,0,0,0,-100,0,97,100,0
2021-12-03,0,0,0,0,0,0,0,5,0,0,-100,0,90,100,0
2021-12-06,0,0,0,0,0,0,0,4,0,0,-100,0,82,100,0
2021-12-07,0,0,0,0,0,0,0,0,0,0,-100,0,79,100,0
2021-12-08,0,0,0,0,0,0,0,0,0,0,-100,0,81,100,0
2021-12-09,0,0,0,0,0,0,0,0,0,0,-100,0,77,100,0
2021-12-10,0,0,0,0,0,0,0,2,0,0,-100,0,77,100,0
2021-12-13,0,0,0,0,0,0,0,2,0,0,-28,0,0,49,0
2021-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
